epoch,train_loss,val_loss,val_auroc_macro,lr,auroc_Atelectasis,auroc_Cardiomegaly,auroc_Effusion,auroc_Infiltration,auroc_Mass,auroc_Nodule,auroc_Pneumonia,auroc_Pneumothorax,auroc_Consolidation,auroc_Edema,auroc_Emphysema,auroc_Fibrosis,auroc_Pleural_Thickening,auroc_Hernia
1,0.8071030946535485,0.6932953000068665,0.5426810383796692,3.3333333333333335e-05,0.44625648856163025,0.529603123664856,0.6066266894340515,0.5162500143051147,0.4810965657234192,0.4382539391517639,0.6203804016113281,0.3604714870452881,0.5542845726013184,0.5965293049812317,0.6922935247421265,0.511338472366333,0.5476049780845642,0.6965442895889282
2,0.8363061101637154,0.719845195611318,0.5737746357917786,6.666666666666667e-05,0.5364158749580383,0.5361111164093018,0.6575757265090942,0.5834180116653442,0.4755859673023224,0.4801587164402008,0.5913043022155762,0.40844297409057617,0.5934176445007324,0.7780188322067261,0.7156158089637756,0.5341076850891113,0.5163217186927795,0.626349925994873
3,0.8330933902865258,0.7067877789338429,0.5990564823150635,0.0001,0.620984673500061,0.6251587867736816,0.7137529253959656,0.6282421946525574,0.4510323405265808,0.46833333373069763,0.653804361820221,0.36540570855140686,0.6712824106216431,0.8355026245117188,0.7435472011566162,0.5622234344482422,0.5410407781600952,0.5064795017242432
4,0.8146792399549039,0.7270014802614848,0.6270163655281067,0.0001,0.6806585192680359,0.5757142901420593,0.7724941968917847,0.6601953506469727,0.4807477593421936,0.5495238304138184,0.6247282028198242,0.5431743860244751,0.6941601037979126,0.8770788908004761,0.7858591079711914,0.5761430263519287,0.4264340400695801,0.5313174724578857
5,0.8250154028429049,0.695612229903539,0.6348798274993896,9.966191788709716e-05,0.6735544800758362,0.6194444298744202,0.7963370084762573,0.6472461223602295,0.4946288764476776,0.6130952835083008,0.5562499761581421,0.6445997953414917,0.6801124215126038,0.9269703030586243,0.7866888046264648,0.6169800758361816,0.5181549787521362,0.31425485014915466
6,0.8100201442976979,0.6807853142420451,0.6528493762016296,9.865224352899119e-05,0.6787744164466858,0.6560317277908325,0.8179486989974976,0.6462109684944153,0.4841657280921936,0.6353968381881714,0.530163049697876,0.6310306787490845,0.7136263847351074,0.924078106880188,0.8003318309783936,0.6035213470458984,0.49917206168174744,0.5194384455680847
7,0.7947526306749504,0.694311652580897,0.6682011485099792,9.698463103929542e-05,0.6957005262374878,0.6638095378875732,0.8282384872436523,0.6718164086341858,0.5323660969734192,0.6265079975128174,0.4440217614173889,0.6998355388641357,0.7277745008468628,0.9197397232055664,0.8299225568771362,0.6326512098312378,0.4960378408432007,0.5863931179046631
8,0.7916466443338127,0.6505793074766795,0.6680586934089661,9.468163201617062e-05,0.7032369375228882,0.7090476155281067,0.829570472240448,0.6850000023841858,0.5807756781578064,0.6125396490097046,0.539673924446106,0.7029879093170166,0.7161348462104797,0.926970362663269,0.7940634489059448,0.638735294342041,0.5166765451431274,0.3974081873893738
9,0.7779350147069057,0.6600185632705688,0.6784821152687073,9.177439057064683e-05,0.6895848512649536,0.7141269445419312,0.8386280536651611,0.6741796731948853,0.5660574436187744,0.636904776096344,0.5437500476837158,0.6961349248886108,0.7314870357513428,0.9399855136871338,0.8049410581588745,0.6666666269302368,0.5232998132705688,0.4730021357536316
10,0.7740828250056115,0.6719585915406545,0.6791113018989563,8.83022221559489e-05,0.6990054249763489,0.737063467502594,0.8437561988830566,0.6808398365974426,0.5764508843421936,0.6483333110809326,0.5339673757553101,0.726288378238678,0.7571743726730347,0.9320318698883057,0.8013458847999573,0.6679571866989136,0.5415730476379395,0.3617710471153259
11,0.763697487728618,0.6390419721603393,0.6905797123908997,8.43120818934367e-05,0.7065110206604004,0.7475396394729614,0.8482517004013062,0.6842187643051147,0.62548828125,0.6407936811447144,0.5179347991943359,0.7438322305679321,0.7502508759498596,0.9262472987174988,0.7828171253204346,0.6761614680290222,0.5612655282020569,0.45680344104766846
12,0.7558070237391463,0.6621346910794575,0.692040205001831,7.985792958513931e-05,0.7282246351242065,0.7652380466461182,0.8489177227020264,0.6827929615974426,0.61083984375,0.6574602723121643,0.5097825527191162,0.7450658082962036,0.7440297603607178,0.9182935953140259,0.7700958847999573,0.6856563091278076,0.5642814636230469,0.457883358001709
13,0.754257253397291,0.6450105845928192,0.680273711681366,7.500000000000001e-05,0.7226340770721436,0.7969841361045837,0.8526140451431274,0.6730078458786011,0.6223493814468384,0.63698410987854,0.499184787273407,0.7456140518188477,0.7454345226287842,0.9193781614303589,0.7717552185058594,0.6870390772819519,0.5743938684463501,0.27645790576934814
