epoch,train_loss,val_loss,val_auroc_macro,lr,auroc_Atelectasis,auroc_Cardiomegaly,auroc_Effusion,auroc_Infiltration,auroc_Mass,auroc_Nodule,auroc_Pneumonia,auroc_Pneumothorax,auroc_Consolidation,auroc_Edema,auroc_Emphysema,auroc_Fibrosis,auroc_Pleural_Thickening,auroc_Hernia
1,0.8257476977098768,0.6830002665519714,0.6328897476196289,3.3333333333333335e-05,0.643254280090332,0.6207936406135559,0.7710622549057007,0.6755077838897705,0.5165318250656128,0.6676984429359436,0.4375,0.5625,0.6890427470207214,0.8441793322563171,0.481932133436203,0.6029682755470276,0.49219396710395813,0.8552916049957275
2,0.8217050973500046,0.6373658855756124,0.6742321252822876,6.666666666666667e-05,0.6735236048698425,0.557539701461792,0.7843489646911621,0.6859961152076721,0.6044224500656128,0.6134920120239258,0.42907607555389404,0.6377466917037964,0.8056392073631287,0.9598698616027832,0.575036883354187,0.6310840845108032,0.6520993709564209,0.8293736577033997
3,0.7995326786397774,0.6445126295089721,0.703759491443634,0.0001,0.7119470834732056,0.6684920787811279,0.8099234104156494,0.6818945407867432,0.64501953125,0.602222204208374,0.5486413240432739,0.7350603342056274,0.7892835140228271,0.9472162127494812,0.6191924810409546,0.6988385319709778,0.5817267894744873,0.8131749629974365
4,0.7746510416547828,0.6673062880833943,0.7081816792488098,0.0001,0.7442241311073303,0.7268254160881042,0.8365634679794312,0.6809179782867432,0.6531807780265808,0.6046031713485718,0.561413049697876,0.7484923005104065,0.7722256183624268,0.9117859601974487,0.7075958847999573,0.7282448410987854,0.5916025638580322,0.6468682289123535
5,0.7593991193815927,0.6472911417484284,0.729957640171051,9.966191788709716e-05,0.7424326539039612,0.8416666984558105,0.8383616209030151,0.6945703029632568,0.5687081217765808,0.6673809289932251,0.5790761113166809,0.6873629689216614,0.7061007618904114,0.9356471300125122,0.7155236005783081,0.719948410987854,0.6068598628044128,0.915766716003418
6,0.7395359021480953,0.6357434044281641,0.7354405522346497,9.865224352899119e-05,0.7719298601150513,0.8653968572616577,0.838428258895874,0.6966015696525574,0.6651087999343872,0.5851587057113647,0.709510862827301,0.6814693212509155,0.7635961771011353,0.9508315324783325,0.7729535698890686,0.7157079577445984,0.5980484485626221,0.6814254522323608
7,0.7220688796489039,0.6782215575377146,0.7305020093917847,9.698463103929542e-05,0.7584630250930786,0.8835713863372803,0.8334665298461914,0.6982617378234863,0.5547572374343872,0.589206337928772,0.6413043737411499,0.6541941165924072,0.7078065276145935,0.9313087463378906,0.7326695919036865,0.7365412712097168,0.6847427487373352,0.8207343220710754
8,0.701472539210988,0.6835745135943095,0.7178381681442261,9.468163201617062e-05,0.7582160234451294,0.9238095283508301,0.8146852850914001,0.6714257597923279,0.6298828125,0.6223015785217285,0.5864130258560181,0.5807291865348816,0.7231587171554565,0.9175704717636108,0.7840155363082886,0.719948410987854,0.6761087775230408,0.6414686441421509
9,0.6918391501792124,0.6311397115389507,0.7083880305290222,9.177439057064683e-05,0.768254280090332,0.9419047832489014,0.7986680269241333,0.6400390863418579,0.6289759874343872,0.4851587414741516,0.627445638179779,0.7242324352264404,0.7033915519714355,0.9074475765228271,0.7511983513832092,0.6818768978118896,0.6432880163192749,0.6155507564544678
10,0.6688756959460606,0.6745622307062149,0.7140360474586487,8.83022221559489e-05,0.7641153931617737,0.9061111211776733,0.8252081871032715,0.6866797208786011,0.6434152126312256,0.513015866279602,0.5701087117195129,0.6613212823867798,0.6553281545639038,0.9342010617256165,0.7893620729446411,0.6243547201156616,0.6435836553573608,0.7796976566314697
11,0.6480454067203486,0.628801213701566,0.7092665433883667,8.43120818934367e-05,0.7544476985931396,0.9374603033065796,0.8083250522613525,0.6849023699760437,0.6608537435531616,0.5007143020629883,0.5263587236404419,0.6847587823867798,0.6482039093971252,0.9161244034767151,0.8433812856674194,0.6672197580337524,0.6360733509063721,0.6609071493148804
12,0.6180104362630399,0.6683668951193492,0.69703608751297,7.985792958513931e-05,0.7637447714805603,0.8955554962158203,0.8015984296798706,0.6620312333106995,0.6388113498687744,0.4823809564113617,0.6489130258560181,0.6435032486915588,0.6408789753913879,0.9548084139823914,0.7892699241638184,0.6719211339950562,0.6046125888824463,0.5604751706123352
13,0.5993693560083336,0.6755444884300232,0.7054086923599243,7.500000000000001e-05,0.7787250280380249,0.9209523797035217,0.8247419595718384,0.6930468678474426,0.6353934407234192,0.5177778005599976,0.689130425453186,0.6329495906829834,0.6392735242843628,0.9558929800987244,0.785213828086853,0.592736005783081,0.5727380514144897,0.6371490359306335
14,0.5850711885456726,0.6939599851767222,0.7057369947433472,6.980398830195785e-05,0.7590498924255371,0.9157936573028564,0.8096237182617188,0.6795507669448853,0.6172572374343872,0.563095211982727,0.8402173519134521,0.6341831088066101,0.6350592374801636,0.8980477452278137,0.7899152040481567,0.6052728295326233,0.5824955701828003,0.5507559776306152
15,0.5539489160074251,0.7438850462436676,0.7086349129676819,6.434016163555452e-05,0.7738139629364014,0.929444432258606,0.7885115146636963,0.6618359088897705,0.6199776530265808,0.5254761576652527,0.7472826242446899,0.6247259378433228,0.6012442111968994,0.9392625093460083,0.8193215131759644,0.6435287594795227,0.5617977380752563,0.6846652030944824
16,0.5200493310656503,0.7079192638397217,0.7005638480186462,5.868240888334653e-05,0.751945972442627,0.9189682602882385,0.768165111541748,0.6484570503234863,0.6717354655265808,0.5488888621330261,0.7111413478851318,0.6452850699424744,0.5448524951934814,0.9161243438720703,0.8683628439903259,0.6056416034698486,0.6100531816482544,0.5982721447944641
17,0.5017352934195617,0.7608958303928375,0.6672129034996033,5.290724144552379e-05,0.754324197769165,0.9269841313362122,0.828005313873291,0.656679630279541,0.67626953125,0.5051587224006653,0.6600543856620789,0.5481085777282715,0.5229781270027161,0.9276934266090393,0.8411688804626465,0.6004793643951416,0.5917799472808838,0.3012958765029907
18,0.4694712540813696,0.7148428579171499,0.6777670383453369,4.709275855447621e-05,0.7548801898956299,0.9355555772781372,0.7949384450912476,0.6442577838897705,0.67431640625,0.5432539582252502,0.623097836971283,0.6026589870452881,0.5292996168136597,0.9276934266090393,0.8456858396530151,0.598912239074707,0.6178592443466187,0.39632827043533325
19,0.4475611164191059,0.6860043098529179,0.6570971012115479,4.131759111665349e-05,0.7481776475906372,0.9374603033065796,0.7807192802429199,0.6495898365974426,0.6715959310531616,0.5183333158493042,0.584782600402832,0.5135691165924072,0.6043548583984375,0.9255242347717285,0.8360066413879395,0.5971607565879822,0.5901833176612854,0.24190062284469604
20,0.4372165283867132,0.6835703253746033,0.6765506863594055,3.5659838364445505e-05,0.7571349143981934,0.9274603128433228,0.7986680269241333,0.6502148509025574,0.67822265625,0.5257936716079712,0.54076087474823,0.609375,0.5901063680648804,0.9407086372375488,0.8316740393638611,0.5703355073928833,0.6020106077194214,0.44924408197402954
21,0.41715725003001847,0.7092624465624492,0.6726751923561096,3.019601169804216e-05,0.7470039129257202,0.9274603128433228,0.7885115146636963,0.6357617378234863,0.6752232313156128,0.5346031785011292,0.5451086759567261,0.6203398704528809,0.5874974727630615,0.9255242347717285,0.8372049331665039,0.6261983513832092,0.5901241898536682,0.37688982486724854
22,0.39541150253509805,0.7234098354975382,0.6595185399055481,2.500000000000001e-05,0.7374289631843567,0.9229364991188049,0.7891441583633423,0.6434960961341858,0.6593191623687744,0.5516666769981384,0.564945638179779,0.6277412176132202,0.5346177220344543,0.9342010021209717,0.8381268978118896,0.5916297435760498,0.5831460952758789,0.2548596262931824
